Gene Long Name,Gene Long Name,Gene Short Name,R1M-C2,R2M-C2,R3M-C2,R1M-C4,R2M-C4,R3M-C4,R1M-C6,R2M-C6,R3M-C6,R1T-C2,R2T-C2,R3T-C2,R1T-C4,R2T-C4,R3T-C4,R1T-C6,R2T-C6,R3T-C6
BdiBd21-3.2G0331500,BdiBd21-3.2G0331500,MLO,9.03673,13.0827,25.106,31.9117,28.9372,55.7077,79.1955,45.3778,85.74,15.3762,9.95851,12.0073,9.17333,9.47959,9.97743,12.4857,11.3864,15.2771
BdiBd21-3.3G0030500,BdiBd21-3.3G0030500,BI-1,37.7686,43.6742,40.6856,50.9042,52.6878,59.6974,65.9254,80.7167,44.2911,46.3354,43.3791,36.735,39.0106,38.1579,32.2321,40.4443,34.0839,42.6416
BdiBd21-3.1G0153800,BdiBd21-3.1G0153800,EDR3,36.1879,37.3311,34.6241,35.1117,38.1255,41.6484,41.6201,40.4991,56.7637,41.6812,36.4167,39.4314,37.2117,42.75,38.2908,45.3606,42.0241,48.4057
BdiBd21-3.2G0225300,BdiBd21-3.2G0225300,EDR3,39.0016,40.977,39.7817,43.7069,40.1549,43.0482,58.4764,42.4048,61.1571,46.8957,37.9116,43.7962,41.3715,45.7253,43.2631,52.7744,45.2184,54.8232
BdiBd21-3.3G0443300,BdiBd21-3.3G0443300,EDR3,30.8094,26.0114,21.5845,35.6291,34.4934,32.5099,52.3229,36.8075,47.0302,23.8928,19.6989,27.8954,41.9895,31.3994,41.2758,55.5551,50.3344,52.3861
BdiBd21-3.1G0357000,BdiBd21-3.1G0357000,VAD1,5.87873,6.54239,4.44688,6.25566,5.8389,5.13901,7.75008,4.58367,8.46253,7.76536,6.96075,6.84347,5.20337,5.40377,5.27682,6.63709,4.28681,6.49029
BdiBd21-3.2G0590100,BdiBd21-3.2G0590100,PMR4,4.84936,2.88822,2.05419,3.65874,2.97356,3.11367,6.31259,2.0031,6.25603,4.25581,2.77161,2.47408,4.20104,5.38139,5.54759,6.10051,4.53145,4.7647
BdiBd21-3.2G0641600,BdiBd21-3.2G0641600,PMR4,8.02155,6.4552,4.93984,4.94504,6.02134,5.13244,5.92646,3.68734,10.1645,7.72552,9.46044,6.32839,8.00493,13.0826,11.8933,12.4214,13.8202,12.3376
BdiBd21-3.1G0033500,BdiBd21-3.1G0033500,CESA3,37.3554,47.8178,33.4392,32.5459,30.1911,36.7421,38.3723,28.7108,68.7383,65.2022,53.3465,37.5954,31.2895,41.9888,41.1764,42.599,41.5996,42.1579
BdiBd21-3.1G0707000,BdiBd21-3.1G0707000,CESA3,6.16908,10.5602,6.00577,5.12326,5.52691,7.084,8.13726,4.71434,13.7735,12.0192,7.95634,5.55128,6.32962,6.43798,5.99676,7.4224,6.35507,5.99428
BdiBd21-3.1G0720500,BdiBd21-3.1G0720500,CESA3,25.9288,45.2859,26.7287,22.595,22.419,30.3361,33.0981,26.1213,63.7538,58.0382,31.8505,21.0447,13.1757,26.7493,18.0888,20.1408,18.5305,22.5266
BdiBd21-3.2G0426100,BdiBd21-3.2G0426100,CESA3,26.0379,47.1472,29.4234,24.0511,21.8394,29.2267,28.604,21.7787,54.171,62.505,35.4318,23.5282,14.2282,23.2291,22.7504,20.8659,20.0779,22.2103
BdiBd21-3.2G0638500,BdiBd21-3.2G0638500,CESA3,9.29322,63.9482,30.2997,7.60337,5.43848,14.6856,11.4086,7.62967,44.8138,35.5721,17.5935,10.8632,3.7424,3.35702,4.33633,1.92043,1.92585,4.26568
BdiBd21-3.3G0369400,BdiBd21-3.3G0369400,CESA3,2.57336,14.8876,9.00295,2.31458,1.39301,4.39586,3.52008,2.41679,13.6879,13.8618,5.29381,2.66407,1.08909,1.10273,0.589926,0.521123,0.439664,1.02126
BdiBd21-3.4G0429400,BdiBd21-3.4G0429400,CESA3,3.23052,24.8454,11.5292,2.60045,1.09173,4.55476,3.891,2.82199,18.3899,15.809,6.14909,3.63126,1.11409,0.832308,0.858721,0.395781,0.379257,1.03825
BdiBd21-3.1G0110600,BdiBd21-3.1G0110600,DND1,11.4334,15.9592,15.4009,13.7496,15.5133,16.4497,13.1076,27.2852,12.7545,15.0158,12.6319,8.77466,6.49108,16.9127,13.8909,9.77441,11.563,10.3127
BdiBd21-3.1G1026800,BdiBd21-3.1G1026800,DMR6,93.2892,43.648,30.3325,146.298,121.251,72.2972,133.945,89.6635,67.9109,50.6869,52.6144,43.3751,25.5531,28.7622,44.9729,93.2368,69.2412,97.3441
BdiBd21-3.1G0413500,BdiBd21-3.1G0413500,WRKY18,3.71155,3.51917,2.03838,8.30736,11.3125,6.44642,6.69111,9.56224,3.94893,3.95592,3.9481,3.23873,1.81793,2.65731,3.69737,8.06378,6.37475,6.67115
BdiBd21-3.3G0078900,BdiBd21-3.3G0078900,WRKY18,23.2944,37.1076,19.2348,42.4795,37.8599,23.3969,40.3012,32.9697,24.796,52.0029,19.7187,16.1317,16.3652,15.8568,25.4991,34.5452,31.4956,35.321
BdiBd21-3.4G0011900,BdiBd21-3.4G0011900,FAH1,4.03523,5.88674,3.08355,8.44001,9.5817,10.394,10.2505,3.5463,3.60642,3.78304,1.94865,2.62025,1.59445,1.1235,1.5485,4.2128,2.30762,3.97017
BdiBd21-3.4G0315600,BdiBd21-3.4G0315600,ADH,103.81,53.9924,53.8697,139.786,143.429,94.5925,180.318,194.017,194.327,123.22,105.195,81.8085,69.9098,154.041,109.398,131.623,116.086,158.543
BdiBd21-3.1G0939900,BdiBd21-3.1G0939900,Lr67,30.6154,25.2848,15.692,73.9322,74.639,31.0004,58.5525,34.3691,24.8285,26.2343,21.5878,26.0707,23.2425,22.8264,34.3107,47.0367,42.8878,58.2722
BdiBd21-3.4G0229800,BdiBd21-3.4G0229800,Lr67,8.2949,2.05614,1.55791,7.62594,7.58715,4.56012,16.0194,5.14971,6.64888,5.55343,3.84152,4.03535,8.026,4.08555,8.07733,14.0231,8.21985,17.0634
